method,true,standard,recovered,corrected,cor_lo,cor_hi,n_spots
ours,0.5,0.568356626432824,0.7286857763716063,0.550786740179279,0.4863085428271384,0.6209323429992817,99716
ours,0.75,0.7019913760474055,0.8880196410090321,0.8067120411871536,0.7457527399181251,0.8664031410471983,101977
ours,1.0,0.8129010287067393,0.9890533953115347,0.9319598177792847,0.889211116799962,0.9778294203674577,100960
ours,1.25,0.9817819198228089,1.1607206066578457,1.1474633268107761,1.103589935416462,1.1964347426447974,100376
ours,1.5,1.1611856997624144,1.386990702987087,1.4158524056516553,1.3646041603898045,1.4645653138102428,100952
ours,1.75,1.322881911154019,1.5806432562414896,1.6485438236821492,1.5961842698989575,1.702721257941364,101398
ours,2.0,1.448918049941012,1.74737860816925,1.8710538334155111,1.8007369375169504,1.9448403281062532,101468
ours,2.2,1.50705999319752,1.81112615081843,1.9621188353218302,1.8900831133132003,2.0693051472313697,100503
classical,0.5,0.7408210986906223,1.4255777633129705,1.4599680140722784,1.3386914227224407,1.5912158815665558,57029
classical,0.75,0.886708931712238,1.4903997726587865,1.536881358804853,1.3900256393720642,1.6984087631974116,60274
classical,1.0,0.9155650932696805,1.3764844006605954,1.4038408163916856,1.259397180642378,1.5409769561495597,56711
classical,1.25,1.0583772272260195,1.4669453265989152,1.507860080421061,1.4046926648265863,1.6153548974284537,54453
classical,1.5,1.3099478801487998,1.8696349183205903,2.0607257903341387,1.8704538978170695,2.319739015095457,57926
classical,1.75,1.3934468243914877,1.9605592117133577,2.233319075492204,2.0326676950004536,2.4415611203093044,59511
classical,2.0,1.5183988291226804,2.176978718202538,2.644128466508334,2.388463554186343,2.8977356877611737,60142
classical,2.2,1.515989222964749,2.1496279968550307,2.5922110891753296,2.285056921514376,2.8766706321940387,58413
